# Builtin pg_proc snapshot (PostgreSQL 18.4): name, worst-case volatility
# across non-aggregate/non-window overloads (i/s/v, '-' when none), and
# whether any overload is an aggregate. Regenerate with the query in
# fit/src/volatility.rs.
brinhandler	v	0
broadcast	i	0
btarraycmp	i	0
btboolcmp	i	0
btboolskipsupport	i	0
btbpchar_pattern_cmp	i	0
btbpchar_pattern_sortsupport	i	0
btcharcmp	i	0
btcharskipsupport	i	0
btequalimage	i	0
btfloat48cmp	i	0
btfloat4cmp	i	0
btfloat4sortsupport	i	0
btfloat84cmp	i	0
btfloat8cmp	i	0
btfloat8sortsupport	i	0
bthandler	v	0
btint24cmp	i	0
btint28cmp	i	0
btint2cmp	i	0
btint2skipsupport	i	0
btint2sortsupport	i	0
btint42cmp	i	0
btint48cmp	i	0
btint4cmp	i	0
btint4skipsupport	i	0
btint4sortsupport	i	0
btint82cmp	i	0
btint84cmp	i	0
btint8cmp	i	0
btint8skipsupport	i	0
btint8sortsupport	i	0
btnamecmp	i	0
btnamesortsupport	i	0
btnametextcmp	i	0
btoidcmp	i	0
btoidskipsupport	i	0
btoidsortsupport	i	0
btoidvectorcmp	i	0
btrecordcmp	i	0
btrecordimagecmp	i	0
btrim	i	0
bttext_pattern_cmp	i	0
bttext_pattern_sortsupport	i	0
bttextcmp	i	0
bttextnamecmp	i	0
bttextsortsupport	i	0
bttidcmp	i	0
btvarstrequalimage	i	0
bytea	i	0
bytea_larger	i	0
bytea_smaller	i	0
bytea_sortsupport	i	0
bytea_string_agg_finalfn	i	0
bytea_string_agg_transfn	i	0
byteacat	i	0
byteacmp	i	0
byteaeq	i	0
byteage	i	0
byteagt	i	0
byteain	i	0
byteale	i	0
bytealike	i	0
bytealt	i	0
byteane	i	0
byteanlike	i	0
byteaout	i	0
bytearecv	i	0
byteasend	i	0
cardinality	i	0
casefold	i	0
cash_cmp	i	0
cash_div_cash	i	0
cash_div_flt4	i	0
cash_div_flt8	i	0
cash_div_int2	i	0
cash_div_int4	i	0
cash_div_int8	i	0
cash_eq	i	0
cash_ge	i	0
cash_gt	i	0
cash_in	s	0
cash_le	i	0
cash_lt	i	0
cash_mi	i	0
cash_mul_flt4	i	0
cash_mul_flt8	i	0
cash_mul_int2	i	0
cash_mul_int4	i	0
cash_mul_int8	i	0
cash_ne	i	0
cash_out	s	0
cash_pl	i	0
cash_recv	i	0
cash_send	i	0
cash_words	i	0
cashlarger	i	0
cashsmaller	i	0
cbrt	i	0
ceil	i	0
ceiling	i	0
center	i	0
char	i	0
char_length	i	0
character_length	i	0
chareq	i	0
charge	i	0
chargt	i	0
charin	i	0
charle	i	0
charlt	i	0
charne	i	0
charout	i	0
charrecv	i	0
charsend	i	0
chr	i	0
cideq	i	0
cidin	i	0
cidout	i	0
cidr	i	0
cidr_in	i	0
cidr_out	i	0
cidr_recv	i	0
cidr_send	i	0
cidrecv	i	0
cidsend	i	0
circle	i	0
circle_above	i	0
circle_add_pt	i	0
circle_below	i	0
circle_center	i	0
circle_contain	i	0
circle_contain_pt	i	0
circle_contained	i	0
circle_distance	i	0
circle_div_pt	i	0
circle_eq	i	0
circle_ge	i	0
circle_gt	i	0
circle_in	i	0
circle_le	i	0
circle_left	i	0
circle_lt	i	0
circle_mul_pt	i	0
circle_ne	i	0
circle_out	i	0
circle_overabove	i	0
circle_overbelow	i	0
circle_overlap	i	0
circle_overleft	i	0
circle_overright	i	0
circle_recv	i	0
circle_right	i	0
circle_same	i	0
circle_send	i	0
circle_sub_pt	i	0
clock_timestamp	v	0
close_ls	i	0
close_lseg	i	0
close_pb	i	0
close_pl	i	0
close_ps	i	0
close_sb	i	0
col_description	s	0
concat	s	0
concat_ws	s	0
contjoinsel	s	0
contsel	s	0
convert	s	0
convert_from	s	0
convert_to	s	0
corr	-	1
cos	i	0
cosd	i	0
cosh	i	0
cot	i	0
cotd	i	0
count	-	1
covar_pop	-	1
covar_samp	-	1
crc32	i	0
crc32c	i	0
cstring_in	i	0
cstring_out	i	0
cstring_recv	s	0
cstring_send	s	0
cume_dist	-	1
cume_dist_final	i	0
current_database	s	0
current_query	v	0
current_schema	s	0
current_schemas	s	0
current_setting	s	0
current_user	s	0
currtid2	v	0
currval	v	0
cursor_to_xml	v	0
cursor_to_xmlschema	v	0
database_to_xml	s	0
database_to_xml_and_xmlschema	s	0
database_to_xmlschema	s	0
date	s	0
date_add	s	0
date_bin	i	0
date_cmp	i	0
date_cmp_timestamp	i	0
date_cmp_timestamptz	s	0
date_eq	i	0
date_eq_timestamp	i	0
date_eq_timestamptz	s	0
date_ge	i	0
date_ge_timestamp	i	0
date_ge_timestamptz	s	0
date_gt	i	0
date_gt_timestamp	i	0
date_gt_timestamptz	s	0
date_in	s	0
date_larger	i	0
date_le	i	0
date_le_timestamp	i	0
date_le_timestamptz	s	0
date_lt	i	0
date_lt_timestamp	i	0
date_lt_timestamptz	s	0
date_mi	i	0
date_mi_interval	i	0
date_mii	i	0
date_ne	i	0
date_ne_timestamp	i	0
date_ne_timestamptz	s	0
date_out	s	0
